ANO;RANGO;TOTAL
1968;1 a 105;105
1969;1 a 41;41
1970;1 a 24;24
1971;1 a 47;47
1972;1 a 21;21
1973;1 a 71;71
1974;1 a 28;28
1975;1 a 57;57
1976;1 a 61;61
1977;1 a 56;56
1978;1 a 64;64
1979;1 a 74;74
1980;1 al 47;47
1981;1 al 85;85
1982;1 al 66;66
1983;1 al 30;30
1984;1 al 55;55
1985;1 al 137;137
1986;1 al 81;81
1987;1 al 61;61
1988;1 al 89;89
1989;1 al 92;92
1990;1 al 61;61
1991;1 al 23;23
1992; 1 A 33;33
1993;34 A 106;73
1994;107 A 179;73
1995;180 A 252;73
1996;253 A 345;93
1997;346 A 419;74
1998;420 A 490;71
1999; 491 A 552;62
2000;553 A 635;83
2001;636 A 730;95
2002;731 A 793;63
2003;794 A 872;79
2004; 873 A 939;67
2005;940 A 1004;65
2006;1005 A 1121;117
2007;1122 A 1181;60
2008;1182 A 1269;88
2009;1270 A 1371;102
2010; 1372 A 1430;59
2011;1431 A 1504;74
2012;1505 A 1607;103
2013;1608 A 1702;95
2014;1703 A 1748;46
2015;1749 A 1771;23
