Custer;Porque;Edad;FechaNacimiento;AporteMensual;Genero;;;;;;;;;
1;1;9;2006;98;2;;;;0;Toda la Poblaciòn ;16- 26 años;27 a 50 años;51 a 72 años;73 a 94 años
1;1;11;2004;98;2;;43.587,00;21.793,50;65.380,50;59,13%;85,30%;67,50%;35,89%;19,65%
1;1;12;2003;98;1;;100.798,00;28.605,50;129.403,50;30,68%;12,84%;26,20%;44,29%;56,89%
1;1;15;2000;98;2;;169.552,00;34.377,00;203.929,00;5,00%;1,41%;4,04%;8,20%;8,87%
1;1;16;1999;98;2;;257.584,00;44.016,00;301.600,00;5,19%;0,45%;2,25%;11,63%;14,58%
1;1;18;1997;98;2;;;;;;;;;
1;1;18;1997;98;2;;;;;;;;;
1;1;18;1997;98;1;;;3.200.000,00;;;;;;
1;1;18;1997;98;1;;;;;;;;;
1;1;18;1997;98;1;;;;;;;;;
1;1;18;1997;98;2;;;;;;;;;
1;1;19;1996;98;1;;;;;;;;;
1;1;19;1996;98;1;;;;;;;;;
1;1;19;1995;98;2;;;;;;;;;
1;1;19;1996;98;1;;;;;;;;;
1;1;19;1996;98;2;;;;;;;;;
1;1;19;1996;98;1;;;;;;;;;
1;1;19;1996;98;2;;;;;;;;;
1;1;19;1996;98;2;;;;;;;;;
1;1;19;1996;98;2;;;;;;;;;
1;1;19;1996;98;1;;;;;;;;;
1;1;19;1996;98;2;;;;;;;;;
1;1;20;1994;98;2;;;;;;;;;
1;1;20;1995;98;1;;;;;;;;;
1;1;20;1995;98;2;;;;;;;;;
1;1;20;1995;98;1;;;;;;;;;
1;1;20;1995;98;1;;;;;;;;;
1;1;20;1995;98;1;;;;;;;;;
1;1;20;1995;98;1;;;;;;;;;
1;1;20;1995;98;1;;;;;;;;;
1;1;20;1995;98;2;;;;;;;;;
1;1;20;1995;98;2;;;;;;;;;
1;1;20;1995;98;1;;;;;;;;;
1;1;20;1995;98;2;;;;;;;;;
1;1;20;1995;98;1;;;;;;;;;
1;1;21;1994;98;2;;;;;;;;;
1;1;21;1994;98;1;;;;;;;;;
1;1;21;1994;98;1;;;;;;;;;
1;1;21;1994;98;1;;;;;;;;;
1;1;21;1994;98;2;;;;;;;;;
1;1;21;1994;98;2;;;;;;;;;
1;1;21;1993;98;1;;;;;;;;;
1;1;21;1994;98;1;;;;;;;;;
1;1;21;1993;98;2;;;;;;;;;
1;1;21;1994;98;1;;;;;;;;;
1;1;21;1994;98;1;;;;;;;;;
1;1;21;1994;98;2;;;;;;;;;
1;1;21;1994;98;1;;;;;;;;;
1;1;21;1994;98;2;;;;;;;;;
1;1;21;1994;98;1;;;;;;;;;
1;1;21;1994;98;2;;;;;;;;;
1;1;21;1994;98;1;;;;;;;;;
1;1;21;1994;98;1;;;;;;;;;
1;1;22;1993;98;1;;;;;;;;;
1;1;22;1992;98;2;;;;;;;;;
1;1;22;1993;98;1;;;;;;;;;
1;1;22;1993;98;1;;;;;;;;;
1;1;22;1993;98;2;;;;;;;;;
1;1;22;1993;98;2;;;;;;;;;
1;1;22;1993;98;2;;;;;;;;;
1;1;22;1993;98;2;;;;;;;;;
1;1;22;1993;98;1;;;;;;;;;
1;1;22;1993;98;2;;;;;;;;;
1;1;22;1993;98;2;;;;;;;;;
1;1;22;1993;98;1;;;;;;;;;
1;1;22;1993;98;1;;;;;;;;;
1;1;22;1993;98;1;;;;;;;;;
1;1;22;1993;98;2;;;;;;;;;
1;1;22;1992;98;2;;;;;;;;;
1;1;22;1993;98;1;;;;;;;;;
1;1;22;1992;98;2;;;;;;;;;
1;1;22;1993;98;2;;;;;;;;;
1;1;22;1993;98;1;;;;;;;;;
1;1;22;1993;98;1;;;;;;;;;
1;1;22;1993;98;1;;;;;;;;;
1;1;22;1993;98;2;;;;;;;;;
1;1;22;1993;98;1;;;;;;;;;
1;1;22;1993;98;2;;;;;;;;;
1;1;22;;98;1;;;;;;;;;
1;1;23;1991;98;1;;;;;;;;;
1;1;23;1992;98;1;;;;;;;;;
1;1;23;1992;98;2;;;;;;;;;
1;1;23;1991;98;2;;;;;;;;;
1;1;23;1992;98;1;;;;;;;;;
1;1;23;1992;98;1;;;;;;;;;
1;1;23;1992;98;1;;;;;;;;;
1;1;23;1991;98;2;;;;;;;;;
1;1;23;1992;98;1;;;;;;;;;
1;1;23;1991;98;2;;;;;;;;;
1;1;23;1992;98;1;;;;;;;;;
1;1;23;1992;98;1;;;;;;;;;
1;1;23;1991;98;2;;;;;;;;;
1;1;23;1992;98;1;;;;;;;;;
1;1;23;1992;98;2;;;;;;;;;
1;1;23;1992;98;2;;;;;;;;;
1;1;23;1991;98;1;;;;;;;;;
1;1;23;1992;98;2;;;;;;;;;
1;1;23;1992;98;2;;;;;;;;;
1;1;23;1992;98;2;;;;;;;;;
1;1;23;1992;98;1;;;;;;;;;
1;1;23;1992;98;2;;;;;;;;;
1;1;23;1992;98;2;;;;;;;;;
