Edad;AporteMensual
66;77,322
67;0
42;36
52;0
54;0
23;25,774
26;0
6;0
66;77,322
60;492
48;25,774
63;492
22;25,774
62;158,4
59;78,84
30;0
11;0
4;0
57;77,322
91;0
73;0
23;0
3;0
27;200
81;890
65;200
57;0
19;0
50;0,098
60;0,098
61;0
60;0
32;0,098
29;90
24;82,8
78;0,099
94;0
72;0
53;0
55;0
28;0
8;0
51;0
12;0
42;0
9;0
63;0
75;77,322
19;0
29;0
63;0
39;120
39;0
15;0
6;0
21;0
49;98
51;0
29;28
22;0
22;40
53;0
42;80,5
13;0
11;0
10;0
10;0
33;100
34;0,098
2;0
36;87,4
38;90
5;0
62;150
56;271,43
76;0
64;0
21;0
21;0
24;0
47;160
39;0
17;0
14;0
9;0
51;400
53;80,5
15;0
75;80,5
55;80,5
51;0
17;0
14;0
46;80,5
37;164
42;353,2
37;0
66;77
72;240
71;0
73;161
54;0
17;0
12;0
18;0
85;77
30;44
26;0
6;0
21;0
26;25,774
31;0
10;0
5;0
2;0
52;0
29;36
45;80,5
40;0
26;25,774
19;0
0;0
59;0
59;0
64;0
70;80,5
21;0
48;0
50;0
21;25,77
17;0
33;0
29;0
10;0
54;25,774
72;0
46;0
52;25,774
26;25,774
44;0
12;0
77;0
70;77,5
27;0
21;0
38;80,544
43;0
12;0
76;80,544
21;0
34;0
7;0
73;170
74;80,5
69;73
68;0
86;176
61;85,4
82;84,5
38;25,774
13;0
72;25,774
52;0
26;25,774
10;0
4;0
60;0
36;102
30;0
2;0
64;0
27;72
60;0
21;0
27;64
31;0
22;0
23;0
78;132
83;0
37;0
77;220
76;220
62;205
39;77,322
38;120
1;0
60;0
54;0,098
21;0
45;77,322
36;77,322
6;0
58;45
56;48
31;90,8
23;0
62;0,098
59;75
90;80
59;0
41;0
39;0
21;90
53;0
49;0
29;0
25;0
63;0
55;0
56;0
32;0,098
57;0
38;0,098
37;0,098
3;0
65;0
37;0
27;0
6;0
4;0
30;0
30;0
10;0
74;0
43;0
19;0
17;0
18;0
52;0
26;26
18;0
23;0
68;80
66;0
33;0
15;0
25;40
25;0
4;0
1;0
76;0
68;80,5
79;349
78;0
39;95
53;80,5
50;0
16;0
24;0
70;0,098
73;0,098
38;0,098
48;0
38;0
15;0
13;0
43;0
52;0
7;0
54;0
33;0
51;0,098
12;0
6;0
36;0
12;0
21;0
70;260
38;155
45;0,098
17;0
33;0
29;0
28;90
69;0
66;0
44;90
59;0
57;0
20;0
42;0
37;52
1;0
98;0,098
65;0
60;0
65;93
69;0
73;60
19;0
71;120
64;0
60;0
46;0
43;0
17;0
16;0
87;0,098
56;0
50;0
15;0
52;0,098
52;0
32;32
15;0
48;140
43;0
10;0
56;0
33;0
88;70
68;0
32;0
12;0
50;0
53;0
18;0
17;0
25;0
22;0
68;0,098
66;180
79;103,2
70;0
35;80,5
49;0
81;77,3
51;0
47;70
48;0
30;23,5
22;0
19;0
17;0
24;0,098
1;0
64;0
40;0
19;0
0;0
82;0
73;0
54;0
35;0
33;0
28;0
25;0
22;0
46;0
24;0
12;0
53;69
47;0
92;84
50;0
17;0
48;0
51;0
67;0
37;0
34;25,774
9;0
3;0
20;25,774
1;0
37;0
35;0
17;0
13;0
11;0
8;0
74;0
53;45
55;0
23;115
29;0
4;0
2;0
74;0
41;0
34;0
12;0
2;0
30;0
37;90
40;0
16;0
3;0
65;115
96;0
46;0
55;85
21;0
14;0
68;80
47;26
36;0
49;0
39;0
3;0
1;0
73;73
48;0
42;0
36;0
18;0
3;0
40;48
21;0
4;0
2;0
58;0
20;48
19;0
68;160
70;0
37;100
57;80,5
29;25,8
12;0
1;0
28;25,8
34;0
12;0
7;0
32;0,098
30;0
12;0
8;0
6;0
1;0
58;0
35;0
28;0
53;0
28;0
3;0
55;0
47;80,5
13;0
40;280
42;0
11;0
9;0
15;0
58;433,8
25;60
39;32
61;180
26;80
48;80,7
19;0
20;0
33;0
43;25,8
4;0
86;77,322
68;0
38;0
17;0
18;0
19;0
58;0
56;0
31;25,8
38;0
38;80,6
29;0
14;0
7;0
4;0
33;0
42;25,774
59;80,6
16;0
6;0
78;0
62;80,6
52;0
32;0
78;0
12;0
28;0
77;0
68;0
59;0
32;0
21;0
18;0
30;0
24;0
6;0
4;0
47;0
15;0
33;0
30;0
91;145
66;0
26;0
26;26
8;0
29;26
26;0
21;0
4;0
1;0
60;25
56;0
19;0
75;0
82;0
41;0
32;26
57;0
79;0
70;0
62;0
45;0
44;0
64;0
72;0
74;0
67;0
27;25,35
7;0
42;36
36;0
18;0
6;0
4;0
57;0
57;72
43;80,5
37;0
4;0
49;0
41;80,5
12;0
41;80,5
41;0
58;0
54;0
19;0
84;0
61;0
19;0
61;77,32
45;0
29;0
36;80,5
21;0
14;0
6;0
61;0
29;25,774
27;0
28;25,774
4;0
90;0
35;34,4
36;0
7;0
25;0
25;0
0;0
61;0
45;0
20;0
34;39,2
35;25,774
14;0
8;0
5;0
44;80,544
41;0
49;0
19;0
24;0
65;0
24;25,774
18;0
3;0
0;0
76;0
58;0
28;0
18;0
15;0
67;0
13;0
54;0
53;0
27;32,042
19;0
42;80
37;0
9;0
28;33,042
3;0
27;0
22;0
6;0
65;77,322
76;0
79;0
59;40
37;36,242
32;0
33;0
11;0
4;0
36;25,774
36;25,774
15;0
51;73,944
58;0
22;0
19;0
36;34,8
31;0
5;0
1;0
50;0
58;0
27;0
21;0
51;0
57;162
26;0
23;36
57;77,322
33;0
27;25,774
9;0
70;420
48;0
23;0
30;25,774
7;0
61;98
61;0
18;0
63;77,322
63;0
45;25,774
16;0
58;0
25;32
20;0
56;28
51;0
26;0
54;0
24;25,774
37;0
18;0
13;0
41;60
12;0
8;0
51;25,774
45;0
8;0
51;0
27;25,774
27;32
8;0
5;0
33;25,774
28;0
36;0
16;0
14;0
46;25,774
98;84
73;96
43;25,774
58;0
30;0
9;0
51;0
42;0
47;0
17;0
15;0
12;0
75;132
74;204
61;77,322
54;0
52;0
48;25,774
41;0
16;0
72;77,322
51;0
66;77,322
21;25,774
50;80,544
37;0
16;0
12;0
63;0
44;25,774
16;0
43;25,774
57;80,544
61;0
31;36
12;0
59;0
49;30
62;0
60;0
39;60
58;32
48;0
32;25,774
83;0
69;80,544
26;25,774
5;0
2;0
45;0
43;80,544
23;50
37;80,544
14;0
67;150
69;0
30;0,098
14;0
56;0,098
59;0
27;0
82;0,098
58;51,2
45;30
44;0
17;0
26;36
6;0
33;0
39;0
6;0
4;0
50;0
49;0
20;0
18;0,098
7;0
73;0
38;200
34;200
70;0
22;0,098
24;0
9;0
47;0
44;0
16;0
11;0
65;0
36;0
19;0
5;0
55;0,098
48;0
28;0
16;0
21;0
22;0
4;0
42;0
24;0
10;0
52;60
55;0
54;0
9;0
4;0
24;0,098
27;0
3;0
52;46,6
49;0
20;0
83;0
48;0
50;77,4
22;0
51;0
52;0
22;0
9;0
35;0,098
62;0
78;80,5
41;0
19;0
19;0
52;25
19;0
76;100
57;0
37;0,098
19;0
18;0
31;0
47;31
23;0,098
20;0
9;0
59;0
80;80,5
35;25
31;0,098
8;0
5;0
35;0,098
36;0
15;0
32;25
58;55
56;0
12;0
63;70
69;0
67;0
44;0
47;0
4;0
3;0
69;0,098
65;0
44;0
42;0,098
11;0
69;0,098
65;0,098
31;0,098
36;0
31;0
8;0
5;0
4;0
51;0,098
21;0
16;0
13;0
67;0
41;0
11;0
4;0
30;0
6;0
4;0
36;0
85;0
66;0
